site_number,site_location,date,Max,Min,Mean,Range
OR3,OR,1/14/16,29.865,28.593,29.19144792,1.272
OR3,OR,1/15/16,30.343,29.065,29.53505208,1.278
OR3,OR,1/16/16,29.565,29.015,29.29158333,0.55
OR3,OR,1/17/16,30.293,28.791,29.39111458,1.502
OR3,OR,1/18/16,29.941,28.916,29.32799479,1.025
OR3,OR,1/19/16,29.19,28.419,28.80270313,0.771
OR3,OR,1/20/16,28.642,28.072,28.39859375,0.57
OR3,OR,1/21/16,28.617,27.801,28.14058854,0.816
OR3,OR,1/22/16,29.065,27.628,28.26909375,1.437
OR3,OR,1/23/16,29.464,28.295,28.83669271,1.169
OR3,OR,1/24/16,28.866,27.875,28.33634375,0.991
OR3,OR,1/25/16,28.444,27.85,28.09324479,0.594
OR3,OR,1/26/16,28.593,27.899,28.17247917,0.694
OR3,OR,1/27/16,29.015,27.875,28.45046875,1.14
OR3,OR,1/28/16,29.215,28.295,28.72359896,0.92
OR3,OR,1/29/16,29.24,28.493,28.81507292,0.747
OR3,OR,1/30/16,29.49,28.147,28.78164063,1.343
OR3,OR,1/31/16,30.016,28.444,29.11292188,1.572
OR3,OR,2/1/16,29.966,28.816,29.332125,1.15
OR3,OR,2/2/16,29.615,28.841,29.25857813,0.774
OR3,OR,2/3/16,29.84,28.791,29.21771354,1.049
OR3,OR,2/4/16,29.515,28.742,29.12838021,0.773
OR3,OR,2/5/16,29.04,28.468,28.74567708,0.572
OR3,OR,2/6/16,29.54,27.924,28.63638542,1.616
OR3,OR,2/7/16,29.015,28.072,28.48675,0.943
OR3,OR,2/8/16,28.742,28.023,28.3533125,0.719
OR3,OR,2/9/16,28.32,27.949,28.20029688,0.371
OR3,OR,2/10/16,27.974,27.333,27.75123958,0.641
OR3,OR,2/11/16,27.825,27.333,27.64192708,0.492
OR3,OR,2/12/16,28.196,27.038,27.560125,1.158
OR3,OR,2/13/16,27.85,27.333,27.61110417,0.517
OR3,OR,2/14/16,28.122,27.112,27.56971354,1.01
OR3,OR,2/15/16,28.32,27.284,27.76076042,1.036
OR3,OR,2/16/16,28.816,27.407,28.06260938,1.409
OR3,OR,2/17/16,28.866,27.899,28.35091146,0.967
OR3,OR,2/18/16,28.394,27.776,28.09191146,0.618
OR3,OR,2/19/16,28.617,27.628,28.02976563,0.989
OR3,OR,2/20/16,28.32,27.579,27.9258125,0.741
OR3,OR,2/21/16,28.766,27.333,28.02971354,1.433
OR3,OR,2/22/16,29.165,27.653,28.31623958,1.512
OR3,OR,2/23/16,29.64,28.221,28.881375,1.419
OR3,OR,2/24/16,29.79,28.617,29.12546354,1.173
OR3,OR,2/25/16,29.565,28.518,28.97697917,1.047
OR3,OR,2/26/16,28.841,28.072,28.53268229,0.769
OR3,OR,2/27/16,28.99,27.776,28.27504167,1.214
OR3,OR,2/28/16,28.766,27.727,28.17268229,1.039
OR3,OR,2/29/16,28.568,27.702,28.07510938,0.866
OR3,OR,3/1/16,29.315,27.702,28.39379167,1.613
OR3,OR,3/2/16,28.617,27.702,28.09515104,0.915
OR3,OR,3/3/16,28.916,27.456,28.14865625,1.46
OR3,OR,3/4/16,29.115,28.072,28.55691667,1.043
OR3,OR,3/5/16,29.265,28.295,28.73994271,0.97
OR3,OR,3/6/16,29.115,28.171,28.67127604,0.944
OR3,OR,3/7/16,29.69,28.419,28.90501563,1.271
OR3,OR,3/8/16,30.142,28.667,29.32033333,1.475
OR3,OR,3/9/16,30.495,29.215,29.59844271,1.28
OR3,OR,3/10/16,29.765,28.816,29.29977604,0.949
OR3,OR,3/11/16,29.29,28.692,28.9470625,0.598
OR3,OR,3/12/16,29.315,28.692,28.96653646,0.623
OR3,OR,3/13/16,29.165,28.295,28.76811458,0.87
OR3,OR,3/14/16,28.965,28.369,28.59539583,0.596
OR3,OR,3/15/16,29.941,28.32,28.88747396,1.621
OR3,OR,3/16/16,29.815,28.394,29.10258854,1.421
OR3,OR,3/17/16,30.167,28.841,29.33369792,1.326
OR3,OR,3/18/16,30.268,28.766,29.45722917,1.502
OR3,OR,3/19/16,30.394,29.165,29.671,1.229
OR3,OR,3/20/16,30.596,29.365,29.83666146,1.231
OR3,OR,3/21/16,29.84,29.165,29.44945313,0.675
OR3,OR,3/22/16,29.19,28.642,28.92188021,0.548
OR3,OR,3/23/16,29.565,28.444,28.90266667,1.121
OR3,OR,3/24/16,30.243,28.518,29.24217708,1.725
OR3,OR,3/25/16,30.268,28.742,29.40646354,1.526
OR3,OR,3/26/16,30.394,28.916,29.52922917,1.478
OR3,OR,3/27/16,30.369,29.09,29.53733333,1.279
OR3,OR,3/28/16,29.765,28.965,29.29303646,0.8
OR3,OR,3/29/16,29.24,28.667,28.88555729,0.573
OR3,OR,3/30/16,29.765,28.444,29.08623958,1.321
OR3,OR,3/31/16,30.419,28.791,29.52170313,1.628
OR3,OR,4/1/16,30.646,29.04,29.80589063,1.606
OR3,OR,4/2/16,30.773,29.464,30.01961979,1.309
OR3,OR,4/3/16,31.153,29.615,30.28503646,1.538
OR3,OR,4/4/16,30.52,29.015,29.75694792,1.505
OR3,OR,4/5/16,29.665,28.543,29.05523438,1.122
OR3,OR,4/6/16,29.765,28.642,29.13813542,1.123
OR3,OR,4/7/16,29.865,28.791,29.29378646,1.074
OR3,OR,4/8/16,29.565,28.941,29.27582292,0.624
OR3,OR,4/9/16,30.117,28.816,29.34090625,1.301
OR3,OR,4/10/16,29.34,28.717,28.98856771,0.623
OR3,OR,4/11/16,29.74,28.568,28.998625,1.172
OR3,OR,4/12/16,30.343,28.667,29.45442708,1.676
OR3,OR,4/13/16,30.672,29.14,29.77894271,1.532
OR3,OR,4/14/16,30.849,29.315,30.01180208,1.534
OR3,OR,4/15/16,30.394,29.315,29.84892708,1.079
OR3,OR,4/16/16,30.318,29.34,29.82692188,0.978
OR3,OR,4/17/16,30.748,29.464,30.03669792,1.284
OR3,OR,4/18/16,30.268,29.389,29.77946354,0.879
OR3,OR,4/19/16,29.615,28.791,29.12529688,0.824
OR3,OR,4/20/16,29.464,28.816,29.07991667,0.648
OR3,OR,4/21/16,30.117,28.617,29.2741875,1.5
OR3,OR,4/22/16,30.041,29.015,29.36657292,1.026
OR3,OR,4/23/16,29.916,29.165,29.53286458,0.751
OR3,OR,4/24/16,30.773,29.389,29.99340625,1.384
OR3,OR,4/25/16,31.408,29.565,30.48549479,1.843
OR3,OR,4/26/16,31.382,29.991,30.64904167,1.391
OR3,OR,4/27/16,31.893,30.369,31.02128646,1.524
OR3,OR,4/28/16,31.97,30.495,31.16429167,1.475
OR3,OR,4/29/16,31.868,30.621,31.27403646,1.247
OR3,OR,4/30/16,32.15,30.697,31.37846354,1.453
OR3,OR,5/1/16,32.304,30.621,31.56921875,1.683
OR3,OR,5/2/16,32.381,31.052,31.61013542,1.329
OR3,OR,5/3/16,31.996,30.722,31.31742188,1.274
OR3,OR,5/4/16,32.175,30.748,31.45018229,1.427
OR3,OR,5/5/16,32.458,31.052,31.68339583,1.406
OR3,OR,5/6/16,32.304,31.204,31.62845313,1.1
OR3,OR,5/7/16,31.331,30.369,30.90927083,0.962
OR3,OR,5/8/16,30.672,29.865,30.24902604,0.807
OR3,OR,5/9/16,31.001,29.815,30.35863021,1.186
OR3,OR,5/10/16,31.331,29.991,30.5484375,1.34
OR3,OR,5/11/16,31.408,30.066,30.72808854,1.342
OR3,OR,5/12/16,30.925,30.167,30.56580729,0.758
OR3,OR,5/13/16,30.318,29.865,30.09211458,0.453
OR3,OR,5/14/16,30.091,29.615,29.84507813,0.476
OR3,OR,5/15/16,30.722,29.414,29.96216667,1.308
OR3,OR,5/16/16,30.318,29.815,30.03902604,0.503
OR3,OR,5/17/16,30.117,29.665,29.85482292,0.452
OR3,OR,5/18/16,29.84,29.464,29.64702083,0.376
OR3,OR,5/19/16,30.243,29.34,29.71775521,0.903
OR3,OR,5/20/16,29.765,29.439,29.61132813,0.326
OR3,OR,5/21/16,29.665,29.365,29.49633333,0.3
OR3,OR,5/22/16,29.916,29.165,29.51776042,0.751
OR3,OR,5/23/16,30.041,29.19,29.62078646,0.851
OR3,OR,5/24/16,29.89,29.34,29.54876563,0.55
OR3,OR,5/25/16,30.849,29.19,29.87396354,1.659
OR3,OR,5/26/16,30.798,29.69,30.17749479,1.108
OR3,OR,5/27/16,30.646,29.265,29.88959375,1.381
OR3,OR,5/28/16,31.23,29.765,30.40957292,1.465
OR3,OR,5/29/16,31.535,29.865,30.56827604,1.67
OR3,OR,5/30/16,30.798,30.167,30.46290625,0.631
OR3,OR,5/31/16,31.484,29.89,30.67428646,1.594
OR3,OR,6/1/16,31.001,30.243,30.60461979,0.758
OR3,OR,6/2/16,31.331,29.84,30.54006771,1.491
OR3,OR,6/3/16,31.052,30.016,30.47115625,1.036
OR3,OR,6/4/16,31.51,29.916,30.70397917,1.594
OR3,OR,6/5/16,31.484,30.142,30.83521354,1.342
OR3,OR,6/6/16,31.433,30.293,30.81196354,1.14
OR3,OR,6/7/16,32.227,30.394,31.30348438,1.833
OR3,OR,6/8/16,31.996,30.293,31.19373438,1.703
OR3,OR,6/9/16,31.637,30.571,31.09929167,1.066
OR3,OR,6/10/16,31.052,30.394,30.76621354,0.658
OR3,OR,6/11/16,30.925,29.941,30.45436458,0.984
OR3,OR,6/12/16,30.369,29.79,30.13042188,0.579
OR3,OR,6/13/16,29.815,29.215,29.51288021,0.6
OR3,OR,6/14/16,30.268,29.065,29.65541146,1.203
OR3,OR,6/15/16,31.001,29.365,30.13855208,1.636
OR3,OR,6/16/16,31.026,29.715,30.40331771,1.311
OR3,OR,6/17/16,30.52,30.016,30.26398958,0.504
OR3,OR,6/18/16,30.697,29.84,30.20039583,0.857
OR3,OR,6/19/16,30.217,29.515,29.91719792,0.702
OR3,OR,6/20/16,29.84,28.941,29.37233854,0.899
OR3,OR,6/21/16,30.394,29.19,29.65825521,1.204
OR3,OR,6/22/16,30.571,29.24,29.89625521,1.331
OR3,OR,6/23/16,30.343,29.615,29.94345313,0.728
OR3,OR,6/24/16,29.89,29.265,29.55644271,0.625
OR3,OR,6/25/16,29.715,29.065,29.36622396,0.65
OR3,OR,6/26/16,30.192,29.215,29.66242708,0.977
OR3,OR,6/27/16,30.293,29.04,29.67928125,1.253
OR3,OR,6/28/16,30.318,29.365,29.82525521,0.953
OR3,OR,6/29/16,29.79,29.015,29.47108854,0.775
OR3,OR,6/30/16,29.991,28.841,29.40488542,1.15
OR3,OR,7/1/16,29.515,28.941,29.19727604,0.574
OR3,OR,7/2/16,29.115,28.27,28.74591667,0.845
OR3,OR,7/3/16,29.19,28.097,28.62807813,1.093
OR3,OR,7/4/16,29.414,28.493,29.01147396,0.921
OR3,OR,7/5/16,29.49,28.444,28.94590625,1.046
OR3,OR,7/6/16,29.565,28.667,29.17127604,0.898
OR3,OR,7/7/16,29.665,28.816,29.19705729,0.849
OR3,OR,7/8/16,29.04,28.692,28.92070833,0.348
OR3,OR,7/9/16,28.891,28.171,28.51816146,0.72
OR3,OR,7/10/16,29.389,28.072,28.66959375,1.317
OR3,OR,7/11/16,29.015,28.493,28.79895313,0.522
OR3,OR,7/12/16,28.916,28.345,28.60158333,0.571
OR3,OR,7/13/16,29.165,28.394,28.7300625,0.771
OR3,OR,7/14/16,29.565,27.924,28.77678646,1.641
OR3,OR,7/15/16,29.165,27.949,28.70017708,1.216
OR3,OR,7/16/16,28.841,28.32,28.54230729,0.521
OR3,OR,7/17/16,28.593,27.998,28.31541667,0.595
OR3,OR,7/18/16,29.065,28.171,28.58181771,0.894
OR3,OR,7/19/16,29.941,28.221,28.99836979,1.72
OR3,OR,7/20/16,29.414,28.692,29.06204167,0.722
OR3,OR,7/21/16,29.64,28.742,29.20080208,0.898
OR3,OR,7/22/16,29.34,28.345,28.84198958,0.995
OR3,OR,7/23/16,29.54,28.295,28.89044271,1.245
OR3,OR,7/24/16,29.34,28.369,28.89521875,0.971
OR3,OR,7/25/16,30.142,28.518,29.14847917,1.624
OR3,OR,7/26/16,30.066,29.14,29.53108333,0.926
OR3,OR,7/27/16,29.315,28.816,29.03803125,0.499
OR3,OR,7/28/16,29.815,28.394,29.04736458,1.421
OR3,OR,7/29/16,29.916,28.766,29.24476563,1.15
OR3,OR,7/30/16,29.215,28.568,28.85911458,0.647
OR3,OR,7/31/16,29.715,28.493,29.05128646,1.222
OR3,OR,8/1/16,29.34,28.518,28.90905729,0.822
OR3,OR,8/2/16,30.016,28.543,29.30221875,1.473
OR3,OR,8/3/16,29.665,29.115,29.28332292,0.55
OR3,OR,8/4/16,30.722,28.543,29.65927083,2.179
OR3,OR,8/5/16,30.117,29.165,29.63374479,0.952
OR3,OR,8/6/16,30.697,29.19,29.93639583,1.507
OR3,OR,8/7/16,30.369,29.54,29.98048958,0.829
OR3,OR,8/8/16,31.179,29.24,30.13838021,1.939
OR3,OR,8/9/16,30.596,29.24,29.92191146,1.356
OR3,OR,8/10/16,30.091,29.14,29.50178125,0.951
OR3,OR,8/11/16,29.389,28.518,28.98704688,0.871
OR3,OR,8/12/16,30.495,28.493,29.46871875,2.002
OR3,OR,8/13/16,31.306,29.365,30.17460938,1.941
OR4,OR,6/15/15,29.389,28.99,29.20638542,0.399
OR4,OR,6/16/15,29.215,28.866,29.088,0.349
OR4,OR,6/17/15,28.916,28.692,28.8523125,0.224
OR4,OR,6/18/15,29.29,28.692,28.94759375,0.598
OR4,OR,6/19/15,29.365,28.941,29.1413125,0.424
OR4,OR,6/20/15,29.315,29.04,29.19963542,0.275
OR4,OR,6/21/15,29.19,28.245,28.96795833,0.945
OR4,OR,6/22/15,28.692,27.974,28.3616875,0.718
OR4,OR,6/23/15,28.543,27.949,28.24588542,0.594
OR4,OR,6/24/15,29.215,28.27,28.65389583,0.945
OR4,OR,6/25/15,30.343,29.065,29.46572917,1.278
OR4,OR,6/26/15,29.941,28.717,29.3840625,1.224
OR4,OR,6/27/15,29.365,28.916,29.17103125,0.449
OR4,OR,6/28/15,29.414,28.617,28.97069792,0.797
OR4,OR,6/29/15,29.04,27.924,28.49329167,1.116
OR4,OR,6/30/15,28.493,27.53,28.24423958,0.963
OR4,OR,7/1/15,28.568,27.875,28.28127083,0.693
OR4,OR,7/2/15,29.439,28.32,28.70135417,1.119
OR4,OR,7/3/15,29.265,28.891,29.02384375,0.374
OR4,OR,7/4/15,28.99,28.568,28.78115625,0.422
OR4,OR,7/5/15,29.439,28.27,28.8666875,1.169
OR4,OR,7/6/15,29.389,28.394,28.75171875,0.995
OR4,OR,7/7/15,28.617,28.221,28.47271875,0.396
OR4,OR,7/8/15,28.419,27.949,28.195375,0.47
OR4,OR,7/9/15,28.692,28.369,28.51630208,0.323
OR4,OR,7/10/15,28.766,28.295,28.58591667,0.471
OR4,OR,7/11/15,28.518,27.949,28.26438542,0.569
OR4,OR,7/12/15,28.27,27.431,27.96421875,0.839
OR4,OR,7/13/15,28.122,27.407,27.77230208,0.715
OR4,OR,7/14/15,28.345,27.604,27.92085417,0.741
OR4,OR,7/15/15,28.369,27.653,28.13263542,0.716
OR4,OR,7/16/15,29.015,28.023,28.41730208,0.992
OR4,OR,7/17/15,28.866,27.949,28.37430208,0.917
OR4,OR,7/18/15,28.667,28.32,28.51857292,0.347
OR4,OR,7/19/15,28.717,28.295,28.45733333,0.422
OR4,OR,7/20/15,28.791,27.677,28.34698958,1.114
OR4,OR,7/21/15,28.916,28.419,28.73261458,0.497
OR4,OR,7/22/15,29.59,28.518,28.95405208,1.072
OR4,OR,7/23/15,29.165,28.866,28.98308333,0.299
OR4,OR,7/24/15,28.891,28.097,28.521375,0.794
OR4,OR,7/25/15,28.891,28.32,28.63947917,0.571
OR4,OR,7/26/15,29.265,28.394,28.76316667,0.871
OR4,OR,7/27/15,29.04,28.617,28.7980625,0.423
OR4,OR,7/28/15,28.766,28.493,28.64589583,0.273
OR4,OR,7/29/15,29.315,28.097,28.6540625,1.218
OR4,OR,7/30/15,28.766,27.677,28.25507292,1.089
OR4,OR,7/31/15,28.394,27.456,28.00620833,0.938
OR4,OR,8/1/15,29.165,27.825,28.44404167,1.34
OR4,OR,8/2/15,29.414,28.196,28.80990625,1.218
OR4,OR,8/3/15,29.315,28.394,28.80705208,0.921
OR4,OR,8/4/15,28.916,28.468,28.72032292,0.448
OR4,OR,8/5/15,28.791,28.221,28.57238542,0.57
OR4,OR,8/6/15,28.617,28.419,28.53676042,0.198
OR4,OR,8/7/15,28.692,28.196,28.41015625,0.496
OR4,OR,8/8/15,29.04,28.245,28.629125,0.795
OR4,OR,8/9/15,28.891,28.493,28.69084375,0.398
OR4,OR,8/10/15,29.14,28.245,28.57622917,0.895
OR4,OR,8/11/15,29.265,28.295,28.79515625,0.97
OR4,OR,8/12/15,29.015,28.667,28.871125,0.348
OR4,OR,8/13/15,29.765,28.642,29.0345,1.123
OR4,OR,8/14/15,29.115,28.369,28.74372917,0.746
OR4,OR,8/15/15,28.642,27.974,28.32321875,0.668
OR4,OR,8/16/15,28.468,27.801,28.15965625,0.667
OR4,OR,8/17/15,28.543,27.677,28.2643125,0.866
OR4,OR,8/18/15,28.147,27.776,28.02691667,0.371
OR4,OR,8/19/15,28.667,27.899,28.27758333,0.768
OR4,OR,8/20/15,29.24,28.518,28.679625,0.722
OR4,OR,8/21/15,28.617,28.295,28.51108333,0.322
OR4,OR,8/22/15,28.916,28.568,28.75697917,0.348
OR4,OR,8/23/15,29.015,28.295,28.72828125,0.72
OR4,OR,8/24/15,28.916,28.543,28.83373958,0.373
OR4,OR,8/25/15,28.816,28.122,28.6329375,0.694
OR4,OR,8/26/15,29.439,28.196,28.83161458,1.243
OR4,OR,8/27/15,29.615,28.841,29.24705208,0.774
OR4,OR,8/28/15,30.167,29.29,29.6411875,0.877
OR4,OR,8/29/15,30.192,29.015,29.59138542,1.177
OR4,OR,8/30/15,30.343,29.14,29.70963542,1.203
OR4,OR,8/31/15,29.89,29.389,29.56261458,0.501
OR4,OR,9/1/15,29.49,29.19,29.38422917,0.3
OR4,OR,9/2/15,29.464,28.965,29.24613542,0.499
OR4,OR,9/3/15,29.215,28.742,29.01248958,0.473
OR4,OR,9/4/15,30.117,28.99,29.46016667,1.127
OR4,OR,9/5/15,29.464,29.015,29.24721875,0.449
OR4,OR,9/6/15,29.265,28.742,28.93542708,0.523
OR4,OR,9/7/15,28.965,28.221,28.63247917,0.744
OR4,OR,9/8/15,28.841,28.072,28.33915625,0.769
OR4,OR,9/9/15,28.742,27.924,28.32777083,0.818
OR4,OR,9/10/15,28.171,27.702,27.96180208,0.469
OR4,OR,9/11/15,28.593,28.147,28.41313542,0.446
OR4,OR,9/12/15,28.916,28.048,28.64545833,0.868
OR4,OR,9/13/15,29.464,28.642,28.9389375,0.822
OR4,OR,9/14/15,29.29,28.717,28.87866667,0.573
OR4,OR,9/15/15,29.439,28.667,29.01698958,0.772
OR4,OR,9/16/15,29.365,28.642,29.09248958,0.723
OR4,OR,9/17/15,29.414,28.543,28.99776042,0.871
OR4,OR,9/18/15,30.243,28.493,29.24333333,1.75
OR4,OR,9/19/15,30.167,29.365,29.69554167,0.802
OR4,OR,9/20/15,30.9,29.49,30.02098958,1.41
OR4,OR,9/21/15,30.748,29.64,30.17577083,1.108
OR4,OR,9/22/15,30.394,29.464,29.87789583,0.93
OR4,OR,9/23/15,30.142,29.215,29.61477083,0.927
OR4,OR,9/24/15,31.052,29.565,30.2418125,1.487
OR4,OR,9/25/15,30.419,29.69,30.07410417,0.729
OR4,OR,9/26/15,30.646,29.715,30.13023958,0.931
OR4,OR,9/27/15,30.925,29.765,30.27996875,1.16
OR4,OR,9/28/15,30.824,30.192,30.43490625,0.632
OR4,OR,9/29/15,30.798,29.84,30.35148958,0.958
OR4,OR,9/30/15,31.179,30.016,30.4401875,1.163
OR4,OR,10/1/15,31.153,30.192,30.64217708,0.961
OR4,OR,10/2/15,31.357,29.79,30.56266667,1.567
OR4,OR,10/3/15,31.204,30.243,30.59655208,0.961
OR4,OR,10/4/15,31.077,30.217,30.62392708,0.86
OR4,OR,10/5/15,31.204,30.142,30.7161875,1.062
OR4,OR,10/6/15,31.077,30.318,30.7841875,0.759
OR4,OR,10/7/15,30.672,29.515,30.29298958,1.157
OR4,OR,10/8/15,30.444,29.365,30.08996875,1.079
OR4,OR,10/9/15,30.697,30.142,30.39204167,0.555
OR4,OR,10/10/15,30.419,29.84,30.14657292,0.579
OR4,OR,10/11/15,30.167,29.439,29.66017708,0.728
OR4,OR,10/12/15,29.991,29.265,29.66423958,0.726
OR4,OR,10/13/15,30.142,29.414,29.76630208,0.728
OR4,OR,10/14/15,30.394,29.715,29.99184375,0.679
OR4,OR,10/15/15,30.545,29.765,30.05073958,0.78
OR4,OR,10/16/15,30.419,29.765,30.16585417,0.654
OR4,OR,10/17/15,30.52,29.991,30.27036458,0.529
OR4,OR,10/18/15,30.621,29.64,30.13798958,0.981
OR4,OR,10/19/15,30.495,30.091,30.25438542,0.404
OR4,OR,10/20/15,31.026,30.217,30.56636458,0.809
OR4,OR,10/21/15,31.357,30.394,30.82071875,0.963
OR4,OR,10/22/15,30.9,30.066,30.51226042,0.834
OR4,OR,10/23/15,30.369,29.865,30.13875,0.504
OR4,OR,10/24/15,30.394,29.79,30.14238542,0.604
OR4,OR,10/25/15,30.343,29.54,30.05290625,0.803
OR4,OR,10/26/15,30.621,29.74,30.1918125,0.881
OR4,OR,10/27/15,31.026,29.815,30.40623958,1.211
OR4,OR,10/28/15,30.874,30.192,30.51128125,0.682
OR4,OR,10/29/15,31.052,29.665,30.14513542,1.387
OR4,OR,10/30/15,30.444,29.966,30.2298125,0.478
OR4,OR,10/31/15,30.192,29.74,29.96922917,0.452
OR4,OR,11/1/15,30.142,28.941,29.63179167,1.201
OR4,OR,11/2/15,30.798,29.59,29.9945,1.208
OR4,OR,11/3/15,30.9,29.79,30.2624375,1.11
OR4,OR,11/4/15,30.52,29.64,30.16847917,0.88
OR4,OR,11/5/15,30.874,30.142,30.46721875,0.732
OR4,OR,11/6/15,31.026,30.343,30.55475,0.683
OR4,OR,11/7/15,31.052,30.293,30.52220833,0.759
OR4,OR,11/8/15,30.798,29.565,30.35011458,1.233
OR4,OR,11/9/15,30.596,29.865,30.26004167,0.731
OR4,OR,11/10/15,30.495,29.89,30.15819792,0.605
OR4,OR,11/11/15,30.293,29.84,30.06873958,0.453
OR4,OR,11/12/15,30.117,29.414,29.79946875,0.703
OR4,OR,11/13/15,30.697,29.439,30.17077083,1.258
OR4,OR,11/14/15,30.419,30.041,30.21640625,0.378
OR4,OR,11/15/15,30.293,29.79,30.07226042,0.503
OR4,OR,11/16/15,30.041,29.464,29.87217708,0.577
OR4,OR,11/17/15,29.89,29.59,29.73791667,0.3
OR4,OR,11/18/15,29.966,29.464,29.67021875,0.502
OR4,OR,11/19/15,29.991,29.04,29.56782292,0.951
OR4,OR,11/20/15,30.041,29.165,29.695875,0.876
OR4,OR,11/21/15,30.142,29.54,29.8219375,0.602
OR4,OR,11/22/15,29.815,28.841,29.535625,0.974
OR4,OR,11/23/15,29.515,27.481,28.63940625,2.034
OR4,OR,11/24/15,29.464,28.617,29.12775,0.847
OR4,OR,11/25/15,29.19,28.369,28.64590625,0.821
OR4,OR,11/26/15,29.09,28.642,28.90427083,0.448
OR4,OR,11/27/15,28.916,28.345,28.61895833,0.571
OR4,OR,11/28/15,29.165,28.444,28.82739583,0.721
OR4,OR,11/29/15,29.04,28.543,28.80767708,0.497
OR4,OR,11/30/15,28.841,28.245,28.59620833,0.596
OR4,OR,12/1/15,28.891,28.196,28.62413542,0.695
OR4,OR,12/2/15,29.865,28.493,29.2090625,1.372
OR4,OR,12/3/15,29.916,28.941,29.34625,0.975
OR4,OR,12/4/15,29.265,28.866,29.051875,0.399
OR4,OR,12/5/15,28.965,28.27,28.7041875,0.695
OR4,OR,12/6/15,28.742,28.245,28.6224375,0.497
OR4,OR,12/7/15,29.065,28.171,28.62042708,0.894
OR4,OR,12/8/15,29.24,28.717,28.89822917,0.523
OR4,OR,12/9/15,29.14,28.667,28.9048125,0.473
OR4,OR,12/10/15,29.365,28.543,28.99272917,0.822
OR4,OR,12/11/15,29.365,28.568,28.87177083,0.797
OR4,OR,12/12/15,28.99,28.717,28.83323958,0.273
OR4,OR,12/13/15,28.891,28.444,28.72816667,0.447
OR4,OR,12/14/15,29.04,28.072,28.62601042,0.968
OR4,OR,12/15/15,29.115,28.617,28.86216667,0.498
OR4,OR,12/16/15,29.49,28.816,29.03701042,0.674
OR4,OR,12/17/15,29.19,28.742,28.958125,0.448
OR4,OR,12/18/15,29.515,28.593,29.09920833,0.922
OR4,OR,12/19/15,29.265,28.816,29.03192708,0.449
OR4,OR,12/20/15,28.841,28.444,28.60790625,0.397
OR4,OR,12/21/15,28.866,28.32,28.58027083,0.546
OR4,OR,12/22/15,28.866,28.568,28.73017708,0.298
OR4,OR,12/23/15,28.916,28.518,28.7378125,0.398
OR4,OR,12/24/15,29.19,28.642,28.88258333,0.548
OR4,OR,12/25/15,29.439,28.667,28.91447917,0.772
OR4,OR,12/26/15,29.015,28.692,28.87810417,0.323
OR4,OR,12/27/15,28.941,28.493,28.68905208,0.448
OR4,OR,12/28/15,29.09,28.369,28.78390625,0.721
OR4,OR,12/29/15,29.315,28.518,28.92548958,0.797
OR4,OR,12/30/15,29.49,28.766,29.10732292,0.724
OR4,OR,12/31/15,29.265,28.816,29.04440625,0.449
OR4,OR,1/1/16,29.165,28.493,28.86929167,0.672
OR4,OR,1/2/16,28.916,28.617,28.77059375,0.299
OR4,OR,1/3/16,29.065,28.369,28.69945833,0.696
OR4,OR,1/4/16,29.04,28.642,28.82289583,0.398
OR4,OR,1/5/16,29.04,28.493,28.80280208,0.547
OR4,OR,1/6/16,29.265,28.369,28.88998958,0.896
OR4,OR,1/7/16,29.04,28.369,28.74217708,0.671
OR4,OR,1/8/16,28.99,27.949,28.5023125,1.041
OR4,OR,1/9/16,29.54,28.444,28.78283333,1.096
OR4,OR,1/10/16,29.389,28.568,28.92205208,0.821
OR4,OR,1/11/16,29.79,28.717,29.01215625,1.073
OR4,OR,1/12/16,29.74,28.742,29.01759375,0.998
OR4,OR,1/13/16,29.115,28.667,28.8815,0.448
OR4,OR,1/14/16,29.34,28.593,28.82001042,0.747
OR4,OR,1/15/16,29.439,28.593,29.00219792,0.846
OR4,OR,1/16/16,29.414,28.617,28.91445833,0.797
OR4,OR,1/17/16,29.49,28.444,28.95727083,1.046
OR4,OR,1/18/16,29.815,28.642,29.05123958,1.173
OR4,OR,1/19/16,29.14,28.419,28.69303125,0.721
OR4,OR,1/20/16,28.493,27.702,28.07377083,0.791
OR4,OR,1/21/16,28.245,27.554,27.86710417,0.691
OR4,OR,1/22/16,29.04,28.122,28.46044792,0.918
OR4,OR,1/23/16,28.791,28.295,28.47657292,0.496
OR4,OR,1/24/16,28.369,28.023,28.18978125,0.346
OR4,OR,1/25/16,28.097,27.751,27.95763542,0.346
OR4,OR,1/26/16,28.072,27.505,27.77145833,0.567
OR4,OR,1/27/16,28.568,27.875,28.16705208,0.693
OR4,OR,1/28/16,28.717,27.998,28.35588542,0.719
OR4,OR,1/29/16,28.593,28.122,28.38742708,0.471
OR4,OR,1/30/16,28.891,27.801,28.46671875,1.09
OR4,OR,1/31/16,29.34,28.196,28.68782292,1.144
OR4,OR,2/1/16,29.265,28.345,28.694125,0.92
OR4,OR,2/2/16,28.965,28.196,28.69951042,0.769
OR4,OR,2/3/16,28.99,28.32,28.65355208,0.67
OR4,OR,2/4/16,29.24,28.171,28.58955208,1.069
OR4,OR,2/5/16,28.617,28.245,28.43720833,0.372
OR4,OR,2/6/16,28.891,27.949,28.27566667,0.942
OR4,OR,2/7/16,28.493,27.825,28.148625,0.668
